! Species         Shape    LJ-depth  LJ-diam   DiplMom   Polzblty  RotRelaxNum Data     
! Name            Index    epsilon/k_B sigma     mu        alpha     Zrot      Source   
QOOH(3)             2     437.585     5.774     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=568.29 K, Pc=42.89 bar (from Joback method)
C[CH]CC(89)         2     348.415     5.525     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=452.49 K, Pc=38.97 bar (from Joback method)
CCC(C)O[O](498)     2     440.030     5.764     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=571.47 K, Pc=43.34 bar (from Joback method)
C4H9O2(505)         2     440.030     5.764     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=571.47 K, Pc=43.34 bar (from Joback method)
C4H9O4(515)         2     524.769     5.910     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=681.52 K, Pc=47.96 bar (from Joback method)
C4H8O3(522)         2     487.568     5.820     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=633.21 K, Pc=46.66 bar (from Joback method)
[CH2]CCC(90)        2     348.415     5.525     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=452.49 K, Pc=38.97 bar (from Joback method)
C4H9O4(116)         2     524.769     5.910     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=681.52 K, Pc=47.96 bar (from Joback method)
CCCCO[O](100)       2     437.585     5.774     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=568.29 K, Pc=42.89 bar (from Joback method)
C4H8O3(520)         2     482.622     5.750     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=626.78 K, Pc=47.89 bar (from Joback method)
CCC(C)OO(500)       2     440.030     5.764     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=571.47 K, Pc=43.34 bar (from Joback method)
C4H7O2(532)         2     470.537     5.707     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=611.09 K, Pc=47.76 bar (from Joback method)
C3H5O(282)          2     404.834     5.226     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=525.76 K, Pc=53.51 bar (from Joback method)
C3H5O3(597)         2     470.926     5.499     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=611.59 K, Pc=53.44 bar (from Joback method)
C3H5O3(646)         2     470.926     5.499     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=611.59 K, Pc=53.44 bar (from Joback method)
C3H5O5(690)         2     554.005     5.591     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=719.49 K, Pc=59.81 bar (from Joback method)
C3H5O3(645)         2     490.114     5.364     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=636.51 K, Pc=59.91 bar (from Joback method)
C3H4O2(290)         2     457.894     5.244     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=594.67 K, Pc=59.91 bar (from Joback method)
C4H7O2(584)         2     489.829     5.580     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=636.14 K, Pc=53.2 bar (from Joback method)
C4H7O4(834)         2     553.788     5.815     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=719.21 K, Pc=53.12 bar (from Joback method)
C4H7O3(565)         2     515.952     5.688     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=670.07 K, Pc=52.89 bar (from Joback method)
C4H6O2(1118)        2     430.405     5.522     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=558.97 K, Pc=48.23 bar (from Joback method)
C4H6O2(1135)        2     432.290     5.437     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=561.42 K, Pc=50.73 bar (from Joback method)
C4H7O4(741)         2     553.788     5.815     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=719.21 K, Pc=53.12 bar (from Joback method)
C4H6O3(1189)        2     512.459     5.670     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=665.53 K, Pc=53.05 bar (from Joback method)
C3H4O2(1218)        2     448.714     5.211     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=582.75 K, Pc=59.81 bar (from Joback method)
C4H7O3(562)         2     482.622     5.750     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=626.78 K, Pc=47.89 bar (from Joback method)
C4H7O3(567)         2     482.622     5.750     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=626.78 K, Pc=47.89 bar (from Joback method)
[CH2]C(C)OO(511)    2     422.794     5.446     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=549.08 K, Pc=49.38 bar (from Joback method)
CC1CO1(366)         2     371.145     5.121     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=482.01 K, Pc=52.13 bar (from Joback method)
C4H6O3(983)         2     485.221     5.038     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=630.16 K, Pc=71.58 bar (from Joback method)
C3H3O2(1233)        2     448.714     5.211     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=582.75 K, Pc=59.81 bar (from Joback method)
C3H3O4(1444)        2     522.609     5.418     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=678.71 K, Pc=62 bar (from Joback method)
C3H3O4(1445)        2     485.482     4.812     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=630.50 K, Pc=82.2 bar (from Joback method)
C3H5O2(394)         2     446.068     5.326     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=579.31 K, Pc=55.69 bar (from Joback method)
C3H5O4(1660)        2     520.877     5.544     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=676.46 K, Pc=57.65 bar (from Joback method)
C3H5O4(1687)        2     520.877     5.544     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=676.46 K, Pc=57.65 bar (from Joback method)
C3H4O4(1774)        2     496.493     5.506     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=644.80 K, Pc=56.11 bar (from Joback method)
